ga,name,date,john_contents,holding,city,notes
0145,0145,7th,6:26-31,owner unknown,,
0162,0162,3rd/4th,2:11-22,Metropolitan Museum of Art,New York,one of the earliest parchment NT fragments
0210,0210,7th,"5:44; 6:1-2, 41-42",Berlin State Museums,Berlin,
0211,0211,"9th (debated, 7th proposed)",complete,National Centre of Manuscripts,Tbilisi,in v0.2 page
0216,0216,5th,8:51-53; 9:5-8,Austrian National Library,Vienna,
0217,0217,5th,11:57-12:7,Austrian National Library,Vienna,
0218,0218,5th,"12:2-6, 9-11, 14-16",Austrian National Library,Vienna,
0233,0233,8th,lacunose (ranges unknown),Bible Museum,Münster,palimpsest; needs checking
0234,0234,8th,"1:4-8, 20-24",owner unknown,,also Matthew 28:11-15
0238,0238,8th,7:10-12,Austrian National Library,Vienna,
0250,0250 Climaci Rescriptus,8th (7th/8th),scattered parts of chs. 6-21,Museum of the Bible; St Catherine's,Washington; Sinai,palimpsest; in v0.2 page
0256,0256,8th,"6:32-33, 35-37",Austrian National Library,Vienna,
0264,0264,5th,"8:19-20, 23-24",Berlin State Museums,Berlin,
0268,0268,7th,1:30-33,Berlin State Museums,Berlin,
0273,0273,9th,2:17-3:5; 4:23-37; 5:35-6:2,British Library,London,
0286,0286,6th,10:12-16,St Catherine's,Sinai,also Matthew 16:13-19
0287,0287,9th,"fragments of chs. 2, 10, 12, 13, 17, 20, 21",St Catherine's,Sinai,
0290,0290,9th,18:4-20:2,St Catherine's,Sinai,in v0.2 page
0301,0301,5th,17:1-4,Schøyen Collection,Oslo,
0302,0302,6th,10:29-30,Berlin State Museums,Berlin,
0306,0306,9th,"9:22-10:3, 5-8, 10-12; 11:6-37, 39-41",Bodleian Library,Oxford,
0309,0309,6th,"20:22-24, 28-30",University of Cologne,Cologne,
0314,0314,6th,5:43,De Hamel Collection,Cambridge,
0323,0323,4th/5th,parts of 7:6-9:23,St Catherine's (Syr. 30),Sinai,palimpsest
